strategy,control,annual_gross_headroom_bps,lower95_bps,upper95_bps,annual_incremental_turnover,linear_cost_ceiling_bps_per_dollar
HRP,EQ risk HRP,43.05491109887651,-147.59793817203632,254.24040587890104,-0.06628708521330982,
ERC,EQ risk ERC,98.18215739055576,-12.656483353556975,218.69540951724287,0.12209195364971503,804.1656673972382
Inverse vol,EQ risk Inverse vol,101.5900562897252,-9.071452470503127,224.98168265401975,0.07562842945681264,1343.2786720467052
