period,strategy,n,annual_mean,cagr,volatility,mean_over_vol_rf0,max_drawdown,terminal_wealth,gross_mean,annual_turnover,annual_cost_fraction,mean_cash,mean_concentration
late,HRP,428,0.03527194015192928,0.03577524509154162,0.015467153449058678,2.2804415995546945,-0.010353128525015354,1.0615175171289093,0.035305230374434296,0.06660613626805861,3.33030681340292e-05,0.0,0.9419591298283981
late,Inverse vol,428,0.07405237162588962,0.07606060772956824,0.038389206340685156,1.9289893875041744,-0.02768757468942673,1.132587884971242,0.07420526871997374,0.3059275727922974,0.0001529637863961488,0.0,0.5446994885632448
2022,60/40 context,251,-0.16064774113954836,-0.15901912758118508,0.15831199106913754,-1.0147540944601647,-0.20514058928724643,0.8415590330449372,-0.16051191764929196,0.27103766180882904,0.00013551883090441455,0.0,0.5198410940309748
2022,Defensive momentum,251,-0.07093692873533976,-0.06927521072586051,0.04113829752019714,-1.7243525622447737,-0.07563239617543482,0.9309899789166592,-0.06993128507876793,2.0069646451674563,0.0010034823225837284,0.0,0.9402472502445053
2022,EQ risk ERC,251,-0.057809938665816386,-0.057357358414073856,0.05014673169004791,-1.1528156814512662,-0.08815265020463392,0.9428636200278663,-0.05762931744310107,0.36082662680923966,0.0001804133134046199,0.5965802727304704,0.39724824309311013
2022,EQ risk HRP,251,-0.027360178195023618,-0.027275466423314243,0.024246977945086824,-1.1283953924892163,-0.043173802354716795,0.9728312857120675,-0.02725631971349721,0.2076158929100157,0.00010380794645500786,0.8076145236303907,0.6623546506538666
2022,EQ risk Inverse vol,251,-0.054508535242263664,-0.05410877454434093,0.047296370108189725,-1.1524887664227979,-0.08322077295066388,0.9461000491123692,-0.05434406214742629,0.3286173386331608,0.00016430866931658046,0.6180576429788026,0.4181427466937758
2022,ERC,251,-0.07802042709732264,-0.07638098373162638,0.05347061860731501,-1.4591270707058757,-0.1096836947330474,0.9239102793049494,-0.07775610386787535,0.5278674627399003,0.00026393373136995017,0.0,0.5363860536101285
2022,Equal weight,251,-0.15585325132287614,-0.15011654380598705,0.11648402446079345,-1.3379796246251237,-0.20481423234415308,0.8504321994825891,-0.15568818434351295,0.3292954633598877,0.00016464773167994382,0.0,0.20012819553243807
2022,HRP,251,-0.042263871638831114,-0.041718816794851565,0.026381364517295815,-1.6020350884853818,-0.056443458643358535,0.958443245424737,-0.04220723903930864,0.11316200016618022,5.6581000083090137e-05,0.0,0.935388622145549
2022,Inverse vol,251,-0.07313782726927313,-0.0717165097532152,0.050504878479917775,-1.4481339124170922,-0.10350274179874719,0.9285576620797029,-0.07290562023904743,0.46377864850042394,0.00023188932425021196,0.0,0.5638766283697583
